Closing Date,State Abbreviation
17-Dec-10,AR
17-Dec-10,GA
17-Dec-10,GA
17-Dec-10,GA
17-Dec-10,FL
10-Dec-10,PA
10-Dec-10,MI
19-Nov-10,WI
19-Nov-10,PA
19-Nov-10,FL
12-Nov-10,AZ
12-Nov-10,GA
12-Nov-10,GA
05-Nov-10,CA
05-Nov-10,WA
05-Nov-10,CA
05-Nov-10,MD
22-Oct-10,AZ
22-Oct-10,KS
22-Oct-10,IL
22-Oct-10,GA
22-Oct-10,GA
22-Oct-10,FL
22-Oct-10,FL
15-Oct-10,MO
15-Oct-10,MO
15-Oct-10,KS
01-Oct-10,WA
01-Oct-10,FL
24-Sep-10,WA
24-Sep-10,FL
17-Sep-10,WI
17-Sep-10,OH
17-Sep-10,GA
17-Sep-10,GA
17-Sep-10,GA
17-Sep-10,NJ
10-Sep-10,FL
20-Aug-10,CA
20-Aug-10,CA
20-Aug-10,CA
20-Aug-10,CA
20-Aug-10,IL
20-Aug-10,VA
20-Aug-10,FL
20-Aug-10,FL
13-Aug-10,IL
06-Aug-10,IL
30-Jul-10,OR
30-Jul-10,WA
30-Jul-10,FL
30-Jul-10,FL
30-Jul-10,GA
23-Jul-10,OR
23-Jul-10,NV
23-Jul-10,MN
23-Jul-10,KS
23-Jul-10,SC
23-Jul-10,GA
23-Jul-10,FL
16-Jul-10,MI
16-Jul-10,FL
16-Jul-10,FL
16-Jul-10,FL
16-Jul-10,SC
16-Jul-10,SC
09-Jul-10,OK
09-Jul-10,NY
09-Jul-10,MD
09-Jul-10,MD
25-Jun-10,NM
25-Jun-10,GA
25-Jun-10,FL
18-Jun-10,NV
11-Jun-10,WA
04-Jun-10,NE
04-Jun-10,IL
04-Jun-10,MS
28-May-10,NV
28-May-10,CA
28-May-10,FL
28-May-10,FL
28-May-10,FL
21-May-10,MN
14-May-10,IL
14-May-10,MO
14-May-10,MI
14-May-10,GA
07-May-10,CA
07-May-10,AZ
07-May-10,MN
07-May-10,FL
30-Apr-10,WA
30-Apr-10,MO
30-Apr-10,MO
30-Apr-10,MI
30-Apr-10,PR
30-Apr-10,PR
30-Apr-10,PR
23-Apr-10,IL
23-Apr-10,IL
